date,result,id
2006-06-15 05:50:00,1.34,TH-PTTR0011
2006-07-18 05:30:00,1.83,TH-PTTR0011
2006-08-17 05:15:00,2.07,TH-PTTR0011
2006-09-14 05:45:00,2.01,TH-PTTR0011
2006-10-12 04:53:00,1.44,TH-PTTR0011
2006-11-14 09:51:00,1.37,TH-PTTR0011
2006-12-08 10:25:00,0.517,TH-PTTR0011
2007-01-23 10:30:00,0.4,TH-PTTR0011
2007-03-08 09:55:00,0.34600000000000003,TH-PTTR0011
2007-03-22 10:12:00,0.442,TH-PTTR0011
2007-04-25 05:30:00,0.8370000000000001,TH-PTTR0011
2007-05-10 05:15:00,1.22,TH-PTTR0011
2007-06-14 06:22:00,1.52,TH-PTTR0011
2007-07-31 05:00:00,0.36,TH-PTTR0011
2007-08-30 05:35:00,1.29,TH-PTTR0011
2007-09-21 05:25:00,1.18,TH-PTTR0011
2007-11-15 09:30:00,1.93,TH-PTTR0011
2007-11-29 08:15:00,1.18,TH-PTTR0011
2008-02-13 08:00:00,0.971,TH-PTTR0011
2008-02-26 09:10:00,0.93,TH-PTTR0011
2008-04-18 08:20:00,0.621,TH-PTTR0011
2008-05-13 09:00:00,0.58,TH-PTTR0011
